ID_Odontologo,Nombre_Odontologo,Especialidad,Telefono,Correo_Electronico,ID_Sede
1,Vincent Conner,Ortodoncia,3134624226,vincent.conner@sonrisalud.com,15
2,Jennifer Knight,Endodoncia,3271729583,jennifer.knight@sonrisalud.com,5
3,Craig Nguyen,Odontologia General,314509914,craig.nguyen@sonrisalud.com,5
4,Bobby Evans,Endodoncia,3398488454,bobby.evans@sonrisalud.com,2
5,Peter Burns,Endodoncia,3939152600,peter.burns@sonrisalud.com,26
6,Derek Vargas,Endodoncia,3679896237,derek.vargas@sonrisalud.com,17
7,Tyler Jones,Ortodoncia,3307100293,tyler.jones@sonrisalud.com,21
8,Amanda Scott,Periodoncia,3293622365,amanda.scott@sonrisalud.com,21
9,Michael Gibbs,Ortodoncia,3216384122,michael.gibbs@sonrisalud.com,6
10,Travis Foster,Periodoncia,3544447923,travis.foster@sonrisalud.com,3
11,Crystal Lyons,Odontologia General,3782104235,crystal.lyons@sonrisalud.com,24
12,Matthew Jordan,Ortodoncia,3804928715,matthew.jordan@sonrisalud.com,23
13,Denise Roach,Endodoncia,318778805,denise.roach@sonrisalud.com,14
14,Mr. Raymond Odom,Periodoncia,3203915582,mr..raymond.odom@sonrisalud.com,6
15,Sheri Ramirez,Odontologia General,3457616962,sheri.ramirez@sonrisalud.com,23
16,Jessica Jimenez,Endodoncia,3575970453,jessica.jimenez@sonrisalud.com,13
17,Jonathan Taylor,Periodoncia,3991207935,jonathan.taylor@sonrisalud.com,10
18,Christopher Scott,Endodoncia,3307765439,christopher.scott@sonrisalud.com,24
19,Edward Franklin,Periodoncia,3919354066,edward.franklin@sonrisalud.com,14
20,Antonio Anderson,Periodoncia,3173852788,antonio.anderson@sonrisalud.com,3
21,Robert Mccarthy,Periodoncia,3614501946,robert.mccarthy@sonrisalud.com,4
22,Carla Booth,Endodoncia,3825289418,carla.booth@sonrisalud.com,13
23,Sarah Thompson,Odontologia General,3607708256,sarah.thompson@sonrisalud.com,9
24,Kerry Powell,Periodoncia,3274147722,kerry.powell@sonrisalud.com,16
25,Bryan Taylor,Odontologia General,3846710828,bryan.taylor@sonrisalud.com,23
26,Michael Shepherd,Endodoncia,3278558432,michael.shepherd@sonrisalud.com,31
27,Cheryl Rios,Ortodoncia,3161849607,cheryl.rios@sonrisalud.com,9
28,Kevin Jenkins,Endodoncia,3977092668,kevin.jenkins@sonrisalud.com,4
29,Richard Carroll,Odontologia General,3587862574,richard.carroll@sonrisalud.com,16
30,Beverly Lopez,Ortodoncia,3971931859,beverly.lopez@sonrisalud.com,17
31,Marvin Martinez,Periodoncia,3244934115,marvin.martinez@sonrisalud.com,27
32,Brittany Day,Endodoncia,36864447,brittany.day@sonrisalud.com,16
33,Antonio Simmons,Endodoncia,3741795277,antonio.simmons@sonrisalud.com,19
34,Gabrielle Sanchez,Endodoncia,3296283233,gabrielle.sanchez@sonrisalud.com,10
35,Jennifer Martin,Ortodoncia,3865448436,jennifer.martin@sonrisalud.com,31
36,Alicia Sparks,Ortodoncia,3246099806,alicia.sparks@sonrisalud.com,19
37,Ross Blair,Endodoncia,3174051154,ross.blair@sonrisalud.com,5
38,Kathryn Wilkins,Ortodoncia,3721171193,kathryn.wilkins@sonrisalud.com,8
39,Matthew Garcia,Endodoncia,3947983915,matthew.garcia@sonrisalud.com,10
40,Derrick Adams,Periodoncia,3777109076,derrick.adams@sonrisalud.com,13
41,Aaron White,Endodoncia,3496703979,aaron.white@sonrisalud.com,23
42,Dr. Hailey Bonilla,Odontologia General,3767584680,dr..hailey.bonilla@sonrisalud.com,7
43,Tracy Williams MD,Endodoncia,3381084176,tracy.williams.md@sonrisalud.com,21
44,Pamela Brooks,Ortodoncia,3859303261,pamela.brooks@sonrisalud.com,14
45,Natalie Price MD,Endodoncia,3101201066,natalie.price.md@sonrisalud.com,3
46,Joseph Morris,Endodoncia,318537021,joseph.morris@sonrisalud.com,21
47,Victoria Carson,Ortodoncia,3754003055,victoria.carson@sonrisalud.com,17
48,Alicia Fields,Odontologia General,3379056844,alicia.fields@sonrisalud.com,8
49,Brooke Mccoy,Odontologia General,3417945169,brooke.mccoy@sonrisalud.com,26
50,Aaron Andersen,Endodoncia,3221636229,aaron.andersen@sonrisalud.com,27
51,Rebecca Mathis,Periodoncia,3646907151,rebecca.mathis@sonrisalud.com,29
52,Brittany Mcguire,Ortodoncia,3961661177,brittany.mcguire@sonrisalud.com,3
53,Mark Andrews,Odontologia General,3531843230,mark.andrews@sonrisalud.com,15
54,Bianca Walker DVM,Endodoncia,3349007381,bianca.walker.dvm@sonrisalud.com,28
55,Curtis Thomas,Endodoncia,3643088418,curtis.thomas@sonrisalud.com,17
56,Michael Peterson,Odontologia General,3411274748,michael.peterson@sonrisalud.com,28
57,Misty Sparks,Ortodoncia,3169079560,misty.sparks@sonrisalud.com,1
58,Nichole Gordon,Ortodoncia,3402800237,nichole.gordon@sonrisalud.com,26
59,Nicholas Ferguson,Odontologia General,3713596084,nicholas.ferguson@sonrisalud.com,25
60,Eric Hernandez,Ortodoncia,3316368113,eric.hernandez@sonrisalud.com,1
61,Peggy Nunez,Odontologia General,3437643773,peggy.nunez@sonrisalud.com,18
62,Christopher Munoz,Odontologia General,3999334245,christopher.munoz@sonrisalud.com,31
63,Norma Johnson,Endodoncia,3344987931,norma.johnson@sonrisalud.com,13
64,Kylie Smith,Ortodoncia,3849106526,kylie.smith@sonrisalud.com,3
65,Ian Vasquez,Periodoncia,317851248,ian.vasquez@sonrisalud.com,30
66,Nicole Roberts,Endodoncia,3178529948,nicole.roberts@sonrisalud.com,5
67,Caitlin Estes,Endodoncia,3189993032,caitlin.estes@sonrisalud.com,4
68,Adam Williams,Endodoncia,3612021363,adam.williams@sonrisalud.com,15
69,Kyle Rush,Ortodoncia,3891385453,kyle.rush@sonrisalud.com,26
70,Shannon Madden,Periodoncia,3433436900,shannon.madden@sonrisalud.com,20
71,Aaron Smith,Endodoncia,3436650184,aaron.smith@sonrisalud.com,8
72,Edward Adams,Periodoncia,3685314573,edward.adams@sonrisalud.com,4
73,Chad Allen,Ortodoncia,3689455465,chad.allen@sonrisalud.com,6
74,Elizabeth Butler,Ortodoncia,3783586135,elizabeth.butler@sonrisalud.com,16
75,Xavier Werner,Endodoncia,3541164126,xavier.werner@sonrisalud.com,15
76,Vanessa Craig,Periodoncia,3462656552,vanessa.craig@sonrisalud.com,28
77,Tanner Wood,Periodoncia,3888884152,tanner.wood@sonrisalud.com,1
78,Tammy Lucas,Periodoncia,3941747893,tammy.lucas@sonrisalud.com,8
79,Gloria Burns,Periodoncia,3241805765,gloria.burns@sonrisalud.com,9
80,Tina Browning,Periodoncia,3463543779,tina.browning@sonrisalud.com,21
81,Michelle Bauer,Endodoncia,3974438914,michelle.bauer@sonrisalud.com,31
